,no,song,movie,year,singers,lyricist,composer
2169,2170,Melle Melle Pinnil Vannu Kannu Pothum ...,Pramukhan,0000,KS Chithra,Poovachal Khader,Rajamani
2170,2171,Anchunilaappanthalitta ...,Kumkumappottu,0000,"KJ Yesudas, KS Chithra",GK Pallath,TK Layan
2171,2172,Goldan ...,Kumkumappottu,0000,"KJ Yesudas, KS Chithra",GK Pallath,TK Layan
2172,2173,Gaayaka ...,Kumkumappottu,0000,KS Chithra,GK Pallath,TK Layan
2173,2174,Anchunilaappanthalitta ...,Kumkumappottu,0000,KS Chithra,GK Pallath,TK Layan
2174,2175,Smrithiyil Ozhukum [F] ...,The Megastar,0000,KS Chithra,Unni,Rajamani
2175,2176,Harichandanathin ...,Mrs Susanna Varma,0000,"KS Chithra, MG Sreekumar",Lulu Kishore,Jayaprakash
2176,2177,Kaattinu Polum ...,Mrs Susanna Varma,0000,KS Chithra,Lulu Kishore,Jayaprakash
2177,2178,Vasanthamaayi ...,Mrs Susanna Varma,0000,"KS Chithra, MG Sreekumar",Lulu Kishore,Jayaprakash
2178,2179,Swarnathalikayumenthiyananju Sooryan ...,Vellimanithaalam,0000,"KJ Yesudas, KS Chithra, Chorus","Gireesh Puthenchery, Kaithapram",SP Venkitesh
2179,2180,Swarnathalikayumenthiyananju Sooryan ...,Vellimanithaalam,0000,KS Chithra,"Gireesh Puthenchery, Kaithapram",SP Venkitesh
2180,2181,Pithaave Pithaave Swargasthanaaya ...,Sooryaradhathile Yaathrakkaar,1992,KS Chithra,Chunakkara Ramankutty,Darsan Raman
2181,2182,Kanwa Muniyude ...,Shaanthi Nilayam,0000,"KJ Yesudas, KS Chithra",Mudavanmugal Vasantha Kumari,Bombay S Kamal
2182,2183,Swapnam Nirangal ...,Shaanthi Nilayam,0000,"KJ Yesudas, KS Chithra",Mudavanmugal Vasantha Kumari,Bombay S Kamal
2183,2184,Raathri Megha Vaathilil ...,Kadalkkaakka,1994,KS Chithra,K Jayakumar,AJ Joseph
2184,2185,Thottaduthu ...,Dam 999,2011,"KS Chithra, P Jayachandran",Sohan Roy,Ouseppachan
2185,2186,Thottaduthu ...,Dam 999,2011,KS Chithra,Sohan Roy,Ouseppachan
