,no,song,movie,year,singers,lyricist,composer
0,1,Muthassikkadhayile ...,Kummaatti,1979,"KS Chithra, Manju, Asha, Usha",Kavalam Narayana Panicker,"MG Radhakrishnan, Kavalam Narayana Panicker"
1,2,Rajanee Parayoo ...,Njaan Ekanaanu,1982,KS Chithra,Sathyan Anthikkad,MG Radhakrishnan
2,3,Pranayavasantham ...,Njaan Ekanaanu,1982,"KJ Yesudas, KS Chithra",Sathyan Anthikkad,MG Radhakrishnan
3,4,Aashe aare chaare ...,Aasha,1982,"KJ Yesudas, KS Chithra, Chorus, KS Beena",Dr Pavithran,AT Ummer
4,5,Maanikyam ...,Kelkkaatha Shabdam,1982,"KJ Yesudas, KS Chithra",Devadas,Johnson
5,6,Enthu Mama Sadanathil ...,Snehapoorvam Meera,1982,"KS Chithra, KS Beena",,MG Radhakrishnan
6,7,Arikilo Akaleyo ...,Novemberinte Nashtam,1982,"KS Chithra, Arundhathi",Poovachal Khader,MG Radhakrishnan
7,8,Arikilo Akaleyo [Record Version] ...,Novemberinte Nashtam,1982,"KS Chithra, MG Sreekumar, Arundhathi",Poovachal Khader,MG Radhakrishnan
8,9,Kadalilum karayilum ...,Rathilayam,1983,"KS Chithra, KG Markose",Poovachal Khader,MG Radhakrishnan
9,10,Thaimanikkunju thennal ...,Ente Maamattikkuttiyammaykku,1983,"KS Chithra, Chorus",Bichu Thirumala,Jerry Amaldev
10,11,Aalorungi arangorungi ...,Ente Maamattikkuttiyammaykku,1983,KS Chithra,Bichu Thirumala,Jerry Amaldev
11,12,Gaaname Unaroo Dukha [F] ...,Mounaraagam,1983,KS Chithra,Sreekumaran Thampi,KJ Yesudas
12,13,Illikkaadum ...,Aduthaduthu,1984,"KJ Yesudas, KS Chithra",Sathyan Anthikkad,Raveendran
13,14,Aalolam chaanchaadum ...,Aduthaduthu,1984,KS Chithra,Sathyan Anthikkad,Raveendran
14,15,Vaanampaadi Ithile ...,Uyarangalil,1984,KS Chithra,Bichu Thirumala,Shyam
15,16,Anchithalil Viriyum ...,Uyarangalil,1984,"KJ Yesudas, KS Chithra, Chorus",Bichu Thirumala,Shyam
16,17,Kaattil Kodum Kaattil ...,Aaraante Mulla Kochumulla,1984,"KJ Yesudas, KS Chithra",Madhu Alappuzha,Alleppey Ranganath
17,18,Ponthaamarakal Poothulayum ...,Aaraante Mulla Kochumulla,1984,"KJ Yesudas, KS Chithra",Madhu Alappuzha,Alleppey Ranganath
18,19,Oh Mummy [Jeevante soubhaagya] ...,Oru Kochu Kadha Aarum Parayatha Kadha,1984,"KS Chithra, Chorus",Bichu Thirumala,AT Ummer
19,20,Kalyaanam kalyaanam ...,Oru Kochu Kadha Aarum Parayatha Kadha,1984,"KS Chithra, Vani Jairam, Krishnachandran",Bichu Thirumala,AT Ummer
20,21,Azhakin puzhakal ...,Oru Kochu Kadha Aarum Parayatha Kadha,1984,"KJ Yesudas, KS Chithra",Bichu Thirumala,AT Ummer
21,22,Kanne karale ...,Vanitha Police,1984,"KJ Yesudas, KS Chithra",Madhu Alappuzha,Gopan
22,23,Chellam chellam ...,Attahaasam (Thaarunyam),1984,"KS Chithra, Chorus",Poovachal Khader,MG Radhakrishnan
23,24,Disco disco ...,Kaliyil Alpam Karyam,1984,"KS Chithra, Raveendran",Sathyan Anthikkad,Raveendran
24,25,Pattanathilennum ...,Kaliyil Alpam Karyam,1984,"KS Chithra, Chorus",Sathyan Anthikkad,Raveendran
25,26,Kannodu Kannaaya Swapnangal ...,Kaliyil Alpam Karyam,1984,"KJ Yesudas, KS Chithra",Sathyan Anthikkad,Raveendran
26,27,Aakaashamounam ...,Mynaakam,1984,"KS Chithra, KG Markose",Bichu Thirumala,Raveendran
27,28,Raagam Thaanam Swaram ...,Kilikkonchal,1984,"KJ Yesudas, KS Chithra, Chandran",Bichu Thirumala,Darsan Raman
28,29,Sukham Tharoo ...,Sabarimala Darsanam,1984,KS Chithra,Dr MK Nair,Jerry Amaldev
29,30,Madhumaasa ...,Sooryane Mohicha Penkutty,1984,"KS Chithra, Satheesh Babu",Konniyoor Bhas,Darsan Raman
30,31,Mookamaay ...,Sooryane Mohicha Penkutty,1984,KS Chithra,Konniyoor Bhas,Darsan Raman
31,32,Kalampottakkaattile Chilampitta ...,Vipanchika,1984,KS Chithra,MG Sadasivan,Ayiroor Sadasivan
32,33,Alakalalakal ...,Allimalarkkaavu,1984,KS Chithra,Chowalloor Krishnankutty,Kottayam Joy
33,34,Sangeetha Saagarathil ...,Fifty Fifty,1984,KS Chithra,Poovachal Khader,Shankar Ganesh
34,35,Doore Doore Saagarangal ...,Fifty Fifty,1984,KS Chithra,Poovachal Khader,Shankar Ganesh
35,36,Mandan Dinamithu ...,Vannu Kandu Keezhadakki,1985,KS Chithra,Poovachal Khader,Shyam
36,37,Oru Pennum Koode Koottil ...,Vannu Kandu Keezhadakki,1985,KS Chithra,Poovachal Khader,Shyam
37,38,Ilam Thooval Veesi ...,Vannu Kandu Keezhadakki,1985,"KS Chithra, Chorus",Poovachal Khader,Shyam
38,39,Ilam Thooval Veesi [F] ...,Vannu Kandu Keezhadakki,1985,KS Chithra,Poovachal Khader,Shyam
39,40,Deepam kayyil [F] ...,Neelakkadambu,1985,KS Chithra,K Jayakumar,Raveendran
40,41,Deepam Kayyil (D) ...,Neelakkadambu,1985,"KJ Yesudas, KS Chithra",K Jayakumar,Raveendran
41,42,Kudajaadriyil kudi kollum [F] ...,Neelakkadambu,1985,"KS Chithra, Chorus",K Jayakumar,Raveendran
42,43,Neelakkurinjikal ...,Neelakkadambu,1985,KS Chithra,K Jayakumar,Raveendran
43,44,Mayilppeelikkankalil ...,Soundaryappinakkam,1985,"KJ Yesudas, KS Chithra",Vasan,Rajasenan
44,45,Sruthilaya Madhuram ...,Soundaryappinakkam,1985,KS Chithra,Poovachal Khader,Rajasenan
45,46,Onnaanaam Mala mamarakkombil ...,Principal Olivil,1985,"KJ Yesudas, KS Chithra",Bichu Thirumala,Alleppey Ranganath
46,47,Nishayude Thaazhvarayil ...,Muhoortham 11:30,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Shyam
47,48,Oru Punnaaram ...,Boeing Boeing,1985,"KJ Yesudas, KS Chithra, Unni Menon",Mankombu Gopalakrishnan,Raghu Kumar
48,49,Moham Pole Megham ...,Njaan Piranna Naattil,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,AT Ummer
49,50,Indu Poornendu ...,Uyarum Njaan Naadaake,1985,"KJ Yesudas, KS Chithra",ONV Kurup,KPN Pillai
50,51,Hey Butterfly Njanoru ...,Ezhumuthal Onpathuvare,1985,KS Chithra,Cheramangalam,KJ Joy
51,52,Chandanakkuriyumaayi ...,Oru Nokku Kaanan,1985,"KS Chithra, Unni Menon",Chunakkara Ramankutty,Shyam
52,53,Chinnukkutty Urangeele ...,Oru Nokku Kaanan,1985,"KS Chithra, Unni Menon",Chunakkara Ramankutty,Shyam
53,54,Maancholakkuyile ...,Karimbinpoovinakkare,1985,"KS Chithra, P Jayachandran",Bichu Thirumala,Shyam
54,55,Poonkaavil Paadi ...,Pathaamudayam,1985,"KS Chithra, Chorus",S Ramesan Nair,Darsan Raman
55,56,Mangalam Padunna ...,Pathaamudayam,1985,"KJ Yesudas, KS Chithra",S Ramesan Nair,Darsan Raman
56,57,Thumbikale [Jeevanilamruthavymaay] ...,Pathaamudayam,1985,"KJ Yesudas, KS Chithra, Chorus",S Ramesan Nair,Darsan Raman
57,58,D.I.S.C.O (Swarnathaamara Kiliye) ...,Ee Thanalil Ithiri Neram,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Shyam
58,59,Aaromale En Aaromale ...,Makan Ente Makan,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Johnson
59,60,Mazhavillin Malarthedi ...,Kadha Ithuvare,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Johnson
60,61,Ragini Ragaroopini ...,Kadha Ithuvare,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Johnson
61,62,Ee Maanasam ...,Puli Varunne Puli,1985,"KS Chithra, P Susheeladevi",Bichu Thirumala,Jerry Amaldev
62,63,Kuhoo Kuhoo ...,Mukhyamanthri,1985,"KJ Yesudas, KS Chithra",ONV Kurup,Kumarakam Rajappan
63,64,Mailaanchichodikalil ...,Angaadikkappurathu,1985,"KJ Yesudas, KS Chithra",Bichu Thirumala,Shyam
64,65,Thooventhooval ...,Angaadikkappurathu,1985,"KS Chithra, Unni Menon",Bichu Thirumala,Shyam
65,66,Penninte chenchundil ...,Guruji Oru Vaakku,1985,"KJ Yesudas, KS Chithra",Bichu Thirumala,Jerry Amaldev
66,67,Kaalil kanakamanjeeram ...,Scene No 7,1985,"KJ Yesudas, KS Chithra, Chorus",P Bhaskaran,Jerry Amaldev
67,68,Varadayaay Vaazhunna ...,Shathru,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,AT Ummer
68,69,Raaga Tharalitham En Hridayam ...,Shathru,1985,KS Chithra,Poovachal Khader,AT Ummer
69,70,Priyanay Padum ...,Vasanthasena,1985,KS Chithra,Poovachal Khader,Shyam
70,71,Prayam Youvanam ...,Vasanthasena,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Shyam
71,72,Nee Paadivaa ...,Onnaanaam Kunnil Oradikkunnil,1985,"KJ Yesudas, KS Chithra",Chunakkara Ramankutty,Raghu Kumar
72,73,Mangalam Manjulam ...,Onningu Vannenkil,1985,"KJ Yesudas, KS Chithra",Poovachal Khader,Shyam
73,74,Kaalangal Maarunnu ...,Onningu Vannenkil,1985,KS Chithra,Poovachal Khader,Shyam
74,75,Maarikko Maarikko ...,Onningu Vannenkil,1985,"KS Chithra, Vani Jairam",Poovachal Khader,Shyam
75,76,Dum Dum Dum Swaramelam ...,Onningu Vannenkil,1985,"KS Chithra, Sharreth",Poovachal Khader,Shyam
76,77,Mazhayomazha ...,Kannaaram Pothi Pothi,1985,"KJ Yesudas, KS Chithra",P Bhaskaran,AT Ummer
77,78,Kaaverippuzha ...,Kannaaram Pothi Pothi,1985,"KJ Yesudas, KS Chithra",P Bhaskaran,AT Ummer
78,79,Thookkanaam kuruviyo ...,Oru Kudayum Kunjupengalum,1985,KS Chithra,Bichu Thirumala,Jerry Amaldev
79,80,Poove Poli ...,Oro Poovilum,1985,KS Chithra,Vellanad Narayanan,Raveendran
80,81,Neelimalayil ...,Oro Poovilum,1985,"KS Chithra, Chorus",Vellanad Narayanan,Raveendran
81,82,Aalolamaadunna ...,Upahaaram,1985,KS Chithra,Shibu Chakravarthy,Johnson
82,83,Poomaaname ...,Nirakkoottu,1985,KS Chithra,Poovachal Khader,Shyam
83,84,Kannil Virinju Moham ...,Parayaanum Vayya Parayaathirikkaanum Vayya,1985,"KS Chithra, MG Sreekumar",Chunakkara Ramankutty,MG Radhakrishnan
84,85,Athappoovum nulli ...,Punnaaram Chollicholli,1985,"KJ Yesudas, KS Chithra",ONV Kurup,Jerry Amaldev
85,86,Arayarayarayo kinginiyo ...,Punnaaram Chollicholli,1985,"KS Chithra, Chorus",ONV Kurup,Jerry Amaldev
86,87,Vaa Kuruvee Inappoonkuruvee ...,Punnaaram Chollicholli,1985,"KS Chithra, MG Sreekumar",ONV Kurup,Jerry Amaldev
87,88,Neerkkili neenthivaa ...,Punnaaram Chollicholli,1985,KS Chithra,ONV Kurup,Jerry Amaldev
88,89,Theyyannam ...,Punnaaram Chollicholli,1985,KS Chithra,ONV Kurup,Berny Ignatius
89,90,Athimarakkombathu ...,Pachavelicham,1985,"KJ Yesudas, KS Chithra",Chunakkara Ramankutty,Shyam
90,91,Ore Swaram ...,Ente Kaanaakkuyil,1985,"KS Chithra, Chorus",K Jayakumar,AJ Joseph
91,92,Malarithal ...,Ente Kaanaakkuyil,1985,"KJ Yesudas, KS Chithra",K Jayakumar,AJ Joseph
92,93,Aathmaavin kovilil ...,Theerathinariyumo Thirayude vedana,1988,KS Chithra,Thomas Parannoor,Johnson
93,94,Vanashree Mukham ...,Rangam,1985,"KS Chithra, Krishnachandran",S Ramesan Nair,KV Mahadevan
94,95,Thennalaadum ...,Kandu Kandarinju,1985,KS Chithra,Kaladharan (Kala Adoor),Shyam
95,96,Cheekithirukiya ...,Onnaamprathi Olivil,1985,"KJ Yesudas, KS Chithra",P Bhaskaran,KJ Joy
96,97,Thenuthirum ...,Onnaamprathi Olivil,1985,KS Chithra,P Bhaskaran,KJ Joy
97,98,Paadum Vaanambadikal ...,Oru Sandesham Koodi,1985,KS Chithra,RK Damodaran,Shyam
98,99,Aayiram kannumaay ...,Nokkethaadoorathu Kannumnattu,1985,"KS Chithra, Chorus",Bichu Thirumala,Jerry Amaldev
99,100,Aaraadhana nisha sangeethamela ...,Nokkethaadoorathu Kannumnattu,1985,"KJ Yesudas, KS Chithra, Chorus",Bichu Thirumala,Jerry Amaldev
100,101,Kiliye kiliye ...,Nokkethaadoorathu Kannumnattu,1985,"KS Chithra, Chorus",Bichu Thirumala,Jerry Amaldev
101,102,Happy Birthday to Me ..Thaarukale Thalirukale ...,Manaykkale Thatha,1985,KS Chithra,Bharanikkavu Sivakumar,AT Ummer
102,103,Maanmizhi ...,Azhiyaatha Bandhangal,1985,"KJ Yesudas, KS Chithra",K Jayakumar,Shyam
103,104,Prakaasha Varshangalkkakale ...,Ayanam,1985,"KJ Yesudas, KS Chithra",Mullanezhi,MB Sreenivasan
104,105,Akaleyaay Kilipaadukayaayi ...,Aa Neram Alpa Dooram,1985,KS Chithra,Poovachal Khader,Johnson
105,106,Nimisham Suvarnna ...,Ente Ammu Ninte Thulasi Avarude Chakki,1985,KS Chithra,ONV Kurup,Kannur Rajan
106,107,Maanam Poomanam ...,Ente Ammu Ninte Thulasi Avarude Chakki,1985,"KS Chithra, Balagopalan Thampi",ONV Kurup,Kannur Rajan
107,108,Aathira Thirumuttathu ...,Kayyum Thalayum Purathidaruthu,1985,"KJ Yesudas, KS Chithra",Mullanezhi,Raveendran
108,109,Saagarasangeethalahari ...,Moovanthippookkal,1985,"KJ Yesudas, KS Chithra",K Jayakumar,MG Radhakrishnan
109,110,Vendakka ...,Aa Bheekararaathri,1986,"KJ Yesudas, KS Chithra, Pattom Sadan",Ilanthoor Vijayakumar,Kannur Rajan
110,111,Manjinthulli ...,Aa Bheekararaathri,1986,"KJ Yesudas, KS Chithra",Ilanthoor Vijayakumar,Kannur Rajan
111,112,Ambaari Mele Panchaari Melam ...,Parannuyaraan,1985,KS Chithra,Bichu Thirumala,Jerry Amaldev
112,113,Ennum Manassinte Thamburu [F] ...,Parannuyaraan,1985,KS Chithra,Bichu Thirumala,Jerry Amaldev
113,114,Pranavathin Muraliykkum ...,Raagam Anandabhairavi,1985,"KJ Yesudas, KS Chithra",Mankombu Gopalakrishnan,Ramesh Naidu
114,115,Vaa Vaa Raagamaay ...,Raagam Anandabhairavi,1985,"KJ Yesudas, KS Chithra",Mankombu Gopalakrishnan,Ramesh Naidu
115,116,Chellakkuyile ...,Nin kaalocha kelkkaan,1985,"KS Chithra, MG Sreekumar",Chunakkara Ramankutty,MG Radhakrishnan
116,117,Doore Ponthaarakalum ...,Nin kaalocha kelkkaan,1985,"KS Chithra, MG Sreekumar",Chunakkara Ramankutty,MG Radhakrishnan
117,118,Karayenda Makale ...,Priye Priyadarshini,1985,KS Chithra,Poovachal Khader,KV Mahadevan
118,119,Priye Priyadarshini ...,Priye Priyadarshini,1985,"KS Chithra, Unni Menon",Poovachal Khader,KV Mahadevan
119,120,Prema Yamunatheeram ...,Priye Priyadarshini,1985,"KS Chithra, Unni Menon",Poovachal Khader,KV Mahadevan
120,121,Maamazhakkaade ...,Adiverukal,1986,KS Chithra,Bichu Thirumala,Shyam
121,122,Thenaari thenkaashi ...,Adiverukal,1986,"KS Chithra, Chorus, Krishnachandran",Bichu Thirumala,Shyam
122,123,Kurukuru ...,Ariyaathe,1986,"KJ Yesudas, KS Chithra",MD Rajendran,Jerry Amaldev
123,124,Devabimbam ...,Ariyaathe,1986,KS Chithra,MD Rajendran,Jerry Amaldev
124,125,Hey Kurumbe ...,Geetham,1986,KS Chithra,Bichu Thirumala,Raveendran
125,126,Aaromal Hamsame ...,Geetham,1986,"KJ Yesudas, KS Chithra",Bichu Thirumala,Raveendran
126,127,Ayyayyo ...,Pensimham,1986,KS Chithra,Sreekumaran Thampi,Guna Singh
127,128,Ponnurukki Poomalayil ...,Pensimham,1986,"KS Chithra, Jolly Abraham",Sreekumaran Thampi,Guna Singh
128,129,Aakaasha Swapnamo ...,Pensimham,1986,"KS Chithra, Jolly Abraham",Sreekumaran Thampi,Guna Singh
129,130,Pachappattu Saari ...,Pensimham,1986,KS Chithra,Sreekumaran Thampi,Guna Singh
130,131,Sukham Sukham ...,Pensimham,1986,KS Chithra,Sreekumaran Thampi,Guna Singh
131,132,Maari maari aanandamaari ...,Ithile Iniyum Varoo,1986,"KS Chithra, Unni Menon, Chorus",Yusufali Kecheri,Shyam
132,133,Kanaka munthiri ...,Aalorungi Arangorungi,1986,"KJ Yesudas, KS Chithra",Poovachal Khader,Jerry Amaldev
133,134,Oru kunju sooryane ...,Sukhamo Devi,1986,"KJ Yesudas, KS Chithra",ONV Kurup,Raveendran
134,135,My name is Mikki ...,Annoru Raavil,1986,"KS Chithra, Krishnachandran",Mankombu Gopalakrishnan,Raveendran
135,136,Romapuriyile (F) ...,Annoru Raavil,1986,KS Chithra,Mankombu Gopalakrishnan,Raveendran
136,137,Swarangalaay ...,Ayalvaasi Oru Daridravaasi,1986,"KS Chithra, MG Sreekumar",Chunakkara Ramankutty,MG Radhakrishnan
137,138,Poonthattamittoru ...,Ente Shabdam,1986,KS Chithra,Poovachal Khader,AT Ummer
138,139,Kambili megham puthacha ...,Oppam Oppathinoppam,1986,"KJ Yesudas, KS Chithra",Bichu Thirumala,Jerry Amaldev
139,140,Udayagiriyirangivarum ...,Ilanjippookkal,1986,KS Chithra,Madhu Alappuzha,Kannur Rajan
140,141,Oh devi sreedevi ...,Agniyaanu Njaan Agni,1986,"KJ Yesudas, KS Chithra",Mankombu Gopalakrishnan,Chakravarthy
141,142,Omanakkaiyil ...,Prathyekam Sradhikkuka,1986,KS Chithra,Balu Kiriyath,Raveendran
142,143,Aalolam kili ...,Ashtabandham,1986,"KJ Yesudas, KS Chithra",Chowalloor Krishnankutty,AT Ummer
143,144,Chinnukkutti Chellakkutti Thankakkatti (F) ...,Revathikkoru Paavakkutty,1986,"KS Chithra, Chorus",Bichu Thirumala,Shyam
144,145,Thaalam maranna ...,Pranaamam,1986,KS Chithra,Bharathan,Ouseppachan
145,146,Thaalam Maranna ...,Pranaamam,1986,"KS Chithra, MG Sreekumar",Bharathan,Ouseppachan
146,147,Thalirilayil ...,Pranaamam,1986,KS Chithra,Bharathan,Ouseppachan
147,148,Aa Raathri ...,Panchaagni,1986,KS Chithra,ONV Kurup,Bombay Ravi
148,149,Nishaagandhi poothu chirichu ...,Nandi Veendum Varika,1986,KS Chithra,Chunakkara Ramankutty,Shyam
149,150,Swathanthrarayulla ...,Priyamvadakkoru Pranayageetham,1986,"KJ Yesudas, KS Chithra",Poovachal Khader,MS Viswanathan
150,151,Maane pon varnna ...,Priyamvadakkoru Pranayageetham,1986,"KJ Yesudas, KS Chithra",Poovachal Khader,MS Viswanathan
151,152,Mannin Vennilaave ...,Priyamvadakkoru Pranayageetham,1986,KS Chithra,Poovachal Khader,MS Viswanathan
152,153,Naadangalaay Nee Varoo ...,Ninnishtam Ennishtam,1986,"KS Chithra, P Jayachandran",Mankombu Gopalakrishnan,Kannur Rajan
153,154,Thumpappoo kaattil ...,Ninnishtam Ennishtam,1986,"KS Chithra, P Jayachandran",Mankombu Gopalakrishnan,Kannur Rajan
154,155,Raavinte tholil ...,Adukkaanentheluppam (Akalanendeluppam),1986,"KJ Yesudas, KS Chithra",Bichu Thirumala,Jerry Amaldev
155,156,Mandaara Pushpangal ...,Raareeram,1986,KS Chithra,ONV Kurup,Kodakara Madhavan
156,157,Thudarkkinaakkalil ...,Gandhinagar 2nd Street,1986,"KJ Yesudas, KS Chithra",Bichu Thirumala,Shyam
157,158,Aathmaavin sangeetham nee [F] ...,Kshamichu Ennoru Vaakku,1986,KS Chithra,Poovachal Khader,Shyam
158,159,Ragangal raginikal ...,Kshamichu Ennoru Vaakku,1986,KS Chithra,Poovachal Khader,Shyam
159,160,Ente uyiraayi nee maari ...,Kshamichu Ennoru Vaakku,1986,"KS Chithra, Unni Menon",Poovachal Khader,Shyam
160,161,Aalaapanam ...,Ambadi Thannilorunni,1986,KS Chithra,Muttar Sasikumar,Alleppey Ranganath
161,162,Hridayam oru vallaki ...,Padayani,1986,"KS Chithra, Sunanda",Poovachal Khader,AT Ummer
162,163,Ariyaathe ariyaathe ...,Oru Kadha Oru Nunakkadha,1986,KS Chithra,MD Rajendran,Johnson
163,164,Nenjinullil ...,Poovinu Puthiya Poonthennal,1986,"KJ Yesudas, KS Chithra",Bichu Thirumala,Kannur Rajan
164,165,Peeliyezhum Veeshi Vaa ...,Poovinu Puthiya Poonthennal,1986,"KJ Yesudas, KS Chithra, Chorus",Bichu Thirumala,Kannur Rajan
165,166,Peeliyezhum Veeshi Vaa [F] ...,Poovinu Puthiya Poonthennal,1986,KS Chithra,Bichu Thirumala,Kannur Rajan
166,167,Aaro Aaro Aararo (F) ...,Poovinu Puthiya Poonthennal,1986,KS Chithra,Bichu Thirumala,Kannur Rajan
167,168,Kuliralayil ...,Ee Kaikalil,1986,KS Chithra,K Jayakumar,AJ Joseph
168,169,Madhurikkum Then Kani ...,Njaan Kaathorthirikkum,1986,"KS Chithra, Chorus",PT Abdurahiman,Shyam
169,170,Pudamurikkalyanam ...,Chilambu,1986,KS Chithra,Bharathan,Ouseppachan
170,171,Njaane Saraswathi ...,Amme Bhagavathi,1987,"KJ Yesudas, KS Chithra",Sreekumaran Thampi,MS Viswanathan
171,172,Manassukal paadunnu ...,Amme Bhagavathi,1987,"KJ Yesudas, KS Chithra",Sreekumaran Thampi,MS Viswanathan
172,173,Devi Sthothram ...,Amme Bhagavathi,1987,KS Chithra,Traditional,MS Viswanathan
173,174,Velipparuthippoove ...,Oru Yuga Sandhya,1986,KS Chithra,P Bhaskaran,AT Ummer
174,175,Oh Sugandha Vanapushpangal ...,Pidikittaappulli (Kaanaan Pokunna Pooram),1986,"KS Chithra, Krishnachandran",Bharanikkavu Sivakumar,KJ Joy
175,176,Nee Nee Neeyente Jeevan ...,Hello My Dear Wrong Number,1986,"KS Chithra, MG Sreekumar",S Ramesan Nair,Raghu Kumar
176,177,Neeyen Kinaavo ...,Hello My Dear Wrong Number,1986,"KJ Yesudas, KS Chithra",S Ramesan Nair,Raghu Kumar
177,178,Ente manassoru ...,Onnu Randu Moonnu,1986,KS Chithra,Poovachal Khader,Rajasenan
178,179,Paadum oru kiliyaay ...,Onnu Randu Moonnu,1986,"KJ Yesudas, KS Chithra",Poovachal Khader,Rajasenan
179,180,Aashamsakal ...,Koodanayum Kaattu,1986,"KJ Yesudas, KS Chithra, Chorus",Bichu Thirumala,Shyam
180,181,Moovanthi mekham ...,Koodanayum Kaattu,1986,"KJ Yesudas, KS Chithra, Chorus",Bichu Thirumala,Shyam
181,182,Kandu Njan Kandu ...,Malarum Kiliyum,1986,"KS Chithra, Krishnachandran",K Jayakumar,Shyam
182,183,Mohamaakum naagangal ...,Karinaagam,1986,"KS Chithra, Krishnachandran",Poovachal Khader,AT Ummer
183,184,Kulirunnen meyyaake ...,Karinaagam,1986,KS Chithra,Poovachal Khader,AT Ummer
184,185,Poo veno poo ...,Deshadanakkili Karayaarilla,1986,KS Chithra,ONV Kurup,Raveendran
185,186,Kannadachirulil ...,Udayam Padinjaaru,1986,"KJ Yesudas, KS Chithra",Kavalam Narayana Panicker,AT Ummer
186,187,Nilleda ...,Udayam Padinjaaru,1986,KS Chithra,Kavalam Narayana Panicker,AT Ummer
187,188,Atham chithira ...,Udayam Padinjaaru,1986,"KS Chithra, Chorus",Puthusseri Ramachandran,AT Ummer
188,189,Okkumarakkombathe ...,Udayam Padinjaaru,1986,"KJ Yesudas, KS Chithra",Kavalam Narayana Panicker,Jerry Amaldev
189,190,Moksham nalkoo ...,Kaaryam Kaanaanoru Kallachiri,1986,"KJ Yesudas, KS Chithra, KP Brahmanandan",Panthalam Sudhakaran,AT Ummer
190,191,Amritham choriyum ...,Katturumbinum Kaathukuthu,1986,"KJ Yesudas, KS Chithra",Panthalam Sudhakaran,Kannur Rajan
191,192,Nedaanaay puthiyoru lokam ...,Ice Cream,1986,"KS Chithra, Lathika",Poovachal Khader,Johnson
192,193,Thaarunyam kinaavu neyyunnu ...,Ice Cream,1986,"KS Chithra, Lathika",Poovachal Khader,Johnson
193,194,Thennale thennale ...,Sunil Vayassu 20,1986,KS Chithra,P Bhaskaran,Jerry Amaldev
194,195,Konchum nin imbam ...,Thaalavattam,1986,"KJ Yesudas, KS Chithra",Panthalam Sudhakaran,Raghu Kumar
195,196,Pon veene ...,Thaalavattam,1986,KS Chithra,Poovachal Khader,Raghu Kumar
196,197,Pon Veene ...,Thaalavattam,1986,"KS Chithra, MG Sreekumar",Poovachal Khader,Raghu Kumar
197,198,Aakaashaganga ...,Kunjaattakkilikal,1986,KS Chithra,K Jayakumar,AJ Joseph
198,199,Aalippazham ...,Naale Njangalude Vivaaham,1986,"KS Chithra, Chorus",Chunakkara Ramankutty,Shyam
199,200,Poove Arimullappoove ...,Ennu Naadhante Nimmi,1986,"KS Chithra, Unni Menon",Kaladharan (Kala Adoor),Shyam
200,201,Sharathkaala Raavum ...,Ennu Naadhante Nimmi,1986,KS Chithra,Chunakkara Ramankutty,Shyam
201,202,Chembaneerppoo Polen ...,Ennu Naadhante Nimmi,1986,"KJ Yesudas, KS Chithra",Chunakkara Ramankutty,Shyam
202,203,Poove Arimullappove ...,Ennu Naadhante Nimmi,1986,KS Chithra,Kaladharan (Kala Adoor),Shyam
203,204,Manjal Prasaadavum ...,Nakhakshathangal,1986,KS Chithra,ONV Kurup,Bombay Ravi
204,205,Manjal Prasaadavum (Bit) ...,Nakhakshathangal,1986,KS Chithra,ONV Kurup,Bombay Ravi
205,206,Neermani ...,Manasiloru Manimuthu,1986,"KS Chithra, P Jayachandran",K Jayakumar,Shyam
206,207,Arutharuthente Mangalyasoothram ...,Manasiloru Manimuthu,1986,"KS Chithra, P Jayachandran, Ambili",K Jayakumar,Shyam
207,208,Poovaaya poo ...,Love Story,1986,KS Chithra,Chunakkara Ramankutty,Shyam
208,209,Poovaya poo ...,Love Story,1986,"KJ Yesudas, KS Chithra",Chunakkara Ramankutty,Shyam
209,210,Sneham poothulanju ...,Love Story,1986,"KJ Yesudas, KS Chithra",Chunakkara Ramankutty,Shyam
210,211,Oru Kadalolam ...,Love Story,1986,"KJ Yesudas, KS Chithra, Chorus",Chunakkara Ramankutty,Shyam
211,212,Ninne Rathiyennu ...,Ariyaatha Bandham,1986,"KJ Yesudas, KS Chithra",Poovachal Khader,MS Viswanathan
212,213,Pookkale Varnna Varnna ...,Ariyaatha Bandham,1986,"KS Chithra, P Jayachandran",Poovachal Khader,MS Viswanathan
213,214,Chellacheru veedu tharam ...,Nyaayavidhi,1986,KS Chithra,Shibu Chakravarthy,MK Arjunan
214,215,Chelulla Malankurava ...,Nyaayavidhi,1986,"KS Chithra, Chorus",Shibu Chakravarthy,MK Arjunan
215,216,Poovattaka thattichinni ...,Ennennum Kannettante,1986,"KJ Yesudas, KS Chithra, Chorus",Kaithapram,Jerry Amaldev
216,217,Sreekumaaranane ...,Vivaahithare Ithile,1986,"KS Chithra, Chorus, Sunanda",Bichu Thirumala,Jerry Amaldev
