,no,song,movie,year,singers,lyricist,composer
187,188,Thacholi Omana Kunjichanthu ...,Thacholi Marumakan Chanthu,1974,"P Jayachandran, Chorus",,V Dakshinamoorthy
188,189,Kallolinee Vana Kallolinee ...,Neelakkannukal,1974,P Jayachandran,ONV Kurup,G Devarajan
189,190,Njanoru Paavam Morris ...,Bhoogolam Thiriyunnu,1974,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
190,191,Indeevarangal Poothu ...,Suprabhaatham,1974,"P Jayachandran, P Madhuri",Vayalar,G Devarajan
191,192,Thudikkum Hridayame ...,Suprabhaatham,1974,P Jayachandran,Vayalar,G Devarajan
192,193,Premathin Veenayil ...,Pattaabhishekam,1974,"P Jayachandran, P Madhuri",Sreekumaran Thampi,RK Sekhar
193,194,Poovodam Thulli ...,Pattaabhishekam,1974,"P Jayachandran, Chorus",Sreekumaran Thampi,RK Sekhar
194,195,Swapnalekhe Ninte ...,Ankathattu,1974,"P Jayachandran, P Madhuri",Vayalar,G Devarajan
195,196,Pattudayaada ...,Vrindaavanam,1974,"P Jayachandran, Selma George",Dr Balakrishnan,MK Arjunan
196,197,Oru Thulli Madhu tha ...,Vrindaavanam,1974,"P Jayachandran, LR Eeswari",Dr Balakrishnan,MK Arjunan
197,198,Aaraam Vaavile Chandrikayo ...,Vasantharaavukal,1974,"P Jayachandran, Ambili",Bharanikkavu Sivakumar,Kottayam Joy
198,199,Swami Sharanam ...,Swaami Ayyappan,1975,"P Jayachandran, Chorus",Vayalar,G Devarajan
199,200,Thummiyaal Therikkunna ...,Swaami Ayyappan,1975,"P Jayachandran, Chorus",Vayalar,G Devarajan
200,201,Swarnakkodi Marathil ...,Swaami Ayyappan,1975,"P Jayachandran, P Madhuri, Chorus, Sreekanth",Sreekumaran Thampi,G Devarajan
201,202,Raksha Daivatham [Ividamaaneeshwara] ...,Babumon,1975,"KJ Yesudas, P Jayachandran, Chorus",Mankombu Gopalakrishnan,MS Viswanathan
202,203,Padmatheerthakkarayil ...,Babumon,1975,"P Susheela, P Jayachandran",Mankombu Gopalakrishnan,MS Viswanathan
203,204,Neeraattu Kadavile ...,Kalyaana Sougandhikam,1975,P Jayachandran,P Bhaskaran,Pukazhenthi
204,205,Sapthami Chandrane ...,Velicham Akale,1975,"P Susheela, P Jayachandran",Vayalar,RK Sekhar
205,206,Aadathe Srishtichu ...,Makkal,1975,"P Jayachandran, CO Anto, Sreekanth",Vayalar,G Devarajan
206,207,Maari Poomaari ...,Boy Friend,1975,P Jayachandran,Sreekumaran Thampi,G Devarajan
207,208,Oh My Boy Friend ...,Boy Friend,1975,"P Jayachandran, P Madhuri, Padmanabhan (Udayan)",Sreekumaran Thampi,G Devarajan
208,209,Parayaan Naanam ...,Niramaala,1975,P Jayachandran,Yusufali Kecheri,MK Arjunan
209,210,Chandrodayam Kandu ...,Sindhu,1975,"P Susheela, P Jayachandran",Sreekumaran Thampi,MK Arjunan
210,211,Vellithen Kinnam ...,Penpada,1975,P Jayachandran,Bharanikkavu Sivakumar,RK Sekhar
211,212,Eeswaranmaarkkellaam ...,Love Marriage,1975,"P Jayachandran, Ayiroor Sadasivan",Mankombu Gopalakrishnan,Ahuan Sebastian
212,213,Ladies Hosteline ...,Love Marriage,1975,P Jayachandran,Mankombu Gopalakrishnan,Ahuan Sebastian
213,214,Tharivalakal ...,Chattambikkalyani,1975,P Jayachandran,Sreekumaran Thampi,MK Arjunan
214,215,Kannil Elivaanam ...,Chattambikkalyani,1975,"P Jayachandran, KP Brahmanandan, Latha Devi",Sreekumaran Thampi,MK Arjunan
215,216,Ramzanile Chandrikayo ...,Alibabayum 41 kallanmaarum,1975,P Jayachandran,Vayalar,G Devarajan
216,217,Maappilappaattile Maathalakkani ...,Alibabayum 41 kallanmaarum,1975,"P Jayachandran, Latha Raju",Vayalar,G Devarajan
217,218,Naalillam Nalla Nadumuttam ...,Odakkuzhal,1975,P Jayachandran,Vayalar,MK Arjunan
218,219,Athyunnathangalil ...,Chalanam,1975,"P Jayachandran, P Madhuri",Vayalar,G Devarajan
219,220,Rashtrashilpikal ...,Chalanam,1975,"P Jayachandran, P Madhuri, Chorus",Vayalar,G Devarajan
220,221,Sarppasanthathikale Ningalkku ...,Chalanam,1975,"P Jayachandran, Chorus",Vayalar,G Devarajan
221,222,Nishaasurabhikal ...,Raasaleela,1975,P Jayachandran,Vayalar,Salil Chowdhury
222,223,Lovely Lilly ...,Dharmakshethre Kurukshethre,1975,"P Susheela, P Jayachandran",Vayalar,MS Viswanathan
