,no,song,movie,year,singers,lyricist,composer
344,345,Yal Bhavi Thal Bhavathi ...,Jagadguru Aadisankaran,1977,P Jayachandran,Sankaracharyar,V Dakshinamoorthy
345,346,Janmadukham Jaraadukham ...,Jagadguru Aadisankaran,1977,P Jayachandran,Sankaracharyar,V Dakshinamoorthy
346,347,Paalaazhithira ...,Sooryakanthi,1977,P Jayachandran,Dr Pavithran,Jaya Vijaya
347,348,Maanathaare ...,Sooryakanthi,1977,"S Janaki, P Jayachandran",Dr Pavithran,Jaya Vijaya
348,349,Kannaale Paaru ...,Pallavi,1977,P Jayachandran,P Bhaskaran,Kannur Rajan
349,350,Ponvilayum Kaadu ...,Tholkkaan Enikku Manassilla,1977,"P Jayachandran, Ambili",Mankombu Gopalakrishnan,Shankar Ganesh
350,351,Aaravalli Thaazhvara ...,Oonjaal,1977,"P Jayachandran, P Madhuri, Chorus",Bichu Thirumala,G Devarajan
351,352,Melemaanathile ...,Pattaalam Janaki,1977,"P Jayachandran, SP Balasubrahmanyam","Mankombu Gopalakrishnan, Bharanikkavu Sivakumar",KJ Joy
352,353,Thaazhampoovinte ...,Pattaalam Janaki,1977,"KJ Yesudas, P Jayachandran","Mankombu Gopalakrishnan, Bharanikkavu Sivakumar",KJ Joy
353,354,Thankakkireedam Choodiya ...,Parivarthanam,1977,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
354,355,Amaavaasiyil ...,Parivarthanam,1977,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
355,356,Dheemtha Thakka ...,Guruvayoor Kesavan,1977,"P Jayachandran, CO Anto, Jolly Abraham",P Bhaskaran,G Devarajan
356,357,Ezhu Swarangal ...,Samudram,1977,"P Jayachandran, P Madhuri, Chorus, Jolly Abraham",Yusufali Kecheri,G Devarajan
357,358,Chumbanathil ...,Sangamam,1977,P Jayachandran,Mankombu Gopalakrishnan,MS Viswanathan
358,359,Seethadevi Sreedevi ...,Sangamam,1977,"P Jayachandran, Chorus",Mankombu Gopalakrishnan,MS Viswanathan
359,360,Snehathin Poovidarum ...,Varadakshina,1977,"KJ Yesudas, P Jayachandran, Karthikeyan",Sreekumaran Thampi,G Devarajan
360,361,Ulsavakkodiyetta Keli ...,Varadakshina,1977,P Jayachandran,Sreekumaran Thampi,G Devarajan
361,362,Aakaashathile ...,Panchaamritham,1977,"P Jayachandran, P Madhuri",Sreekumaran Thampi,G Devarajan
362,363,Hridayeshwari Nin ...,Panchaamritham,1977,P Jayachandran,Sreekumaran Thampi,G Devarajan
363,364,Ponnin Kattayanennalum ...,Kannappanunni,1977,"KJ Yesudas, P Jayachandran",P Bhaskaran,K Raghavan
364,365,Chanchala Naadam ...,Chilanka,1977,"P Susheela, P Jayachandran",Mankombu Gopalakrishnan,KV Mahadevan
365,366,Unarunnu Pulakam ...,Chilanka,1977,"P Jayachandran, Ambili",Mankombu Gopalakrishnan,KV Mahadevan
366,367,Aaraadhike Aaraadhike ...,Oru Jaathi Oru Matham,1977,P Jayachandran,L Babu,Kannur Rajan
367,368,Parudeesa [Daivam Namukku Thanna] ...,Swarna Medal,1977,"P Jayachandran, B Vasantha",P Bhaskaran,Joseph Krishna
368,369,Odum Kuthira ...,Iniyum Puzhayozhukum,1978,"P Jayachandran, P Madhuri",Yusufali Kecheri,G Devarajan
369,370,Theyyaathi Nunthinuntho ...,Vaadakaykku Oru Hridayam,1978,"P Jayachandran, P Madhuri, Chorus",Kavalam Narayana Panicker,G Devarajan
370,371,Aayiram Raathri Pularnnaalum ...,Ninakku Njaanum Enikku Neeyum,1978,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,V Dakshinamoorthy
371,372,Kalladikkum Ponnaliya ...,Ninakku Njaanum Enikku Neeyum,1978,"P Jayachandran, KP Brahmanandan",Chirayinkeezhu Ramakrishnan Nair,V Dakshinamoorthy
372,373,Hari Om Bhakshanadaayakane ...,Aanayum Ambaariyum,1978,"KJ Yesudas, P Jayachandran, KP Brahmanandan","Bharanikkavu Sivakumar, Kaniyapuram Ramachandran",Shyam
373,374,Kaalam Kunjumanassil ...,Rathinirvedam,1978,"P Jayachandran, Chorus, Karthikeyan",Kavalam Narayana Panicker,G Devarajan
374,375,Paal Pozhiyum Mozhi ...,Asthamayam,1978,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
375,376,Ormayundo Maankidaave [M] ...,Snehikkaan Oru Pennu,1978,P Jayachandran,Yusufali Kecheri,G Devarajan
376,377,Rajani Hemantharajani ...,Madhurikkunna Raathri,1978,"P Susheela, P Jayachandran",Yusufali Kecheri,MS Viswanathan
377,378,Kuliranu Deham ...,Madhurikkunna Raathri,1978,P Jayachandran,Yusufali Kecheri,MS Viswanathan
378,379,Ding Dong ...,Madhurikkunna Raathri,1978,P Jayachandran,Yusufali Kecheri,MS Viswanathan
379,380,Raghuvamsa Raja ...,Raghuvamsham,1978,"P Jayachandran, Chorus",Anwar Suber,AT Ummer
380,381,Vannu Njan Ee Varna ...,Premashilpi,1978,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
381,382,Njaayarum Thinkalum ...,Randu Penkuttikal,1978,P Jayachandran,Bichu Thirumala,MS Viswanathan
382,383,Sruthimandalam ...,Randu Penkuttikal,1978,"P Jayachandran, Chorus",Bichu Thirumala,MS Viswanathan
383,384,Entharivoo Nee ...,Randu Penkuttikal,1978,P Jayachandran,Bichu Thirumala,MS Viswanathan
384,385,Pranaya Jodikale ...,Pokkattadikkaari,1978,"P Jayachandran, Ambili",Yusufali Kecheri,AT Ummer
385,386,Kaattu Vannu NInte kamukan vannu ...,Paadasaram,1978,P Jayachandran,GK Pallath,G Devarajan
386,387,Pullippuli Pole ...,Balapareekshanam,1978,"P Jayachandran, Vani Jairam",Mankombu Gopalakrishnan,MK Arjunan
387,388,Ilaveyil Thalayilu Kinnaaram ...,Aarum Anyaralla,1978,"P Jayachandran, CO Anto",Sathyan Anthikkad,MK Arjunan
388,389,Sandhye Nee Va Va Sindooram Tha Tha ...,Snehikkaan Samayamilla,1978,"S Janaki, P Jayachandran",Dr Balakrishnan,AT Ummer
389,390,Kuttappa Njan Achanalleda ...,Snehikkaan Samayamilla,1978,"P Jayachandran, Jolly Abraham",Dr Balakrishnan,AT Ummer
390,391,Arabikkadalum Ashtamudi ...,Mukkuvane Snehicha Bhootham,1978,P Jayachandran,Anwar Suber,KJ Joy
391,392,Mullappoomanamo ...,Mukkuvane Snehicha Bhootham,1978,"P Susheela, P Jayachandran",Anwar Suber,KJ Joy
392,393,Kaattinte Karavalayathil ...,Mattoru Karnan,1978,"P Jayachandran, Vani Jairam",Chavara Gopi,KJ Joy
393,394,Choothukalathil ...,Mattoru Karnan,1978,"P Jayachandran, Ambili",Chavara Gopi,KJ Joy
394,395,Neeyo Njaano ...,Vyaamoham,1978,"S Janaki, P Jayachandran",Dr Pavithran,Ilayaraja
395,396,Aadu Paambe ...,Kalpavriksham,1978,"P Jayachandran, Ambili, CO Anto",Sreekumaran Thampi,V Dakshinamoorthy
396,397,Chirikkunnatheppol ...,Ashtamudikkaayal,1978,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
397,398,Kayyil Thottaalum ...,Ashtamudikkaayal,1978,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
398,399,Apsara Kanyake ...,Aasramam,1978,P Jayachandran,Chunakkara Ramankutty,MK Arjunan
399,400,Mini Skirtkaari ...,Nivedyam,1978,P Jayachandran,Yusufali Kecheri,G Devarajan
400,401,Kavilathenikkoru ...,Nivedyam,1978,"P Jayachandran, Vani Jairam",Mankombu Gopalakrishnan,G Devarajan
401,402,Ilakozhinja Tharunirakal ...,Nakshathrangale Kaaval,1978,"P Jayachandran, P Madhuri",ONV Kurup,G Devarajan
402,403,Kaappikal Pookkunna ...,Anumodanam,1978,"P Jayachandran, Ambili, KP Brahmanandan, B Vasantha",Bharanikkavu Sivakumar,AT Ummer
403,404,Thinkalkkala Choodiya ...,Padmatheertham,1978,"P Jayachandran, Ambili",Mankombu Gopalakrishnan,KV Mahadevan
404,405,Ore Medayil ...,Sundarimaarude Swapnangal,1978,"P Susheela, P Jayachandran",Chirayinkeezhu Ramakrishnan Nair,MS Viswanathan
405,406,Mandahaasa Madhuradalam ...,Anubhoothikalude Nimisham,1978,"P Susheela, P Jayachandran",Sreekumaran Thampi,AT Ummer
406,407,Ina Piriyaatha ...,Padakkuthira,1978,"P Jayachandran, Karthikeyan",Mankombu Gopalakrishnan,Kannur Rajan
407,408,Nrithakala Deviyo ...,Avar Jeevikkunnu,1978,"P Jayachandran, P Madhuri",Yusufali Kecheri,G Devarajan
408,409,Paambadum Paarayil ...,Tiger Salim,1978,"P Jayachandran, Vani Jairam, Ambili",Bichu Thirumala,Shyam
409,410,Ee Swargamennaal ...,Aanappaachan,1978,"P Jayachandran, CO Anto",P Bhaskaran,G Devarajan
410,411,Madhyavenal Raathri ...,Ashokavanam,1978,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
411,412,Sukhamenna Poovuthedi ...,Ashokavanam,1978,"P Jayachandran, Ambili, CO Anto",Vellanad Narayanan,V Dakshinamoorthy
412,413,Aavo Mera ...,Sathrusamhaaram,1978,"P Jayachandran, Sreelatha Namboothiri",Pappanamkodu Lakshmanan,MK Arjunan
413,414,Onam Vanne ...,Velluvili,1978,"Bichu Thirumala, P Jayachandran, Ambili, KP Chandramohan",Bichu Thirumala,MS Viswanathan
414,415,Jik Jik Theevandi ...,Snehathinte Mukhangal,1978,"P Jayachandran, Ambili",Mankombu Gopalakrishnan,MS Viswanathan
415,416,Paadum Raagathil ...,Lisa,1978,P Jayachandran,Vijayan,KJ Joy
416,417,Neelmizhithumbil ...,Lisa,1978,P Jayachandran,Vijayan,KJ Joy
417,418,Shaarikathenmozhikal ...,Kanyaka,1978,"P Jayachandran, Ambili",Pappanamkodu Lakshmanan,MK Arjunan
418,419,Onnu Chirikkaan ...,Ithaa Oru Manushyan,1978,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
419,420,Mayiline Kandorikkal ...,Ithaa Oru Manushyan,1978,"S Janaki, P Jayachandran",Sreekumaran Thampi,MS Viswanathan
420,421,Pavizhamalli Ninte ...,Amarsham,1978,"P Jayachandran, P Madhuri",Chirayinkeezhu Ramakrishnan Nair,G Devarajan
421,422,Othupidichal Malayum Porum ...,Amarsham,1978,"P Jayachandran, Chorus, Karthikeyan",Chirayinkeezhu Ramakrishnan Nair,G Devarajan
422,423,Madaalase Manohari ...,Madaalasa,1978,P Jayachandran,Yusufali Kecheri,KJ Joy
423,424,Anuraaga Naattile ...,Madaalasa,1978,"P Susheela, P Jayachandran",Yusufali Kecheri,KJ Joy
424,425,Love Me Like ...,Randilonnu,1978,"P Jayachandran, LR Anjali",Mankombu Gopalakrishnan,MS Viswanathan
425,426,Kan Kulirke ...,Aalmaaraattam,1978,P Jayachandran,Konniyoor Bhas,MK Arjunan
426,427,Kaamini Kaatharamizhi ...,Aalmaaraattam,1978,P Jayachandran,P Venu,MK Arjunan
427,428,Kaattilolangal ...,Kaathirunna Nimisham,1978,P Jayachandran,Sreekumaran Thampi,MK Arjunan
428,429,Punchirichaal ...,Kaathirunna Nimisham,1978,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,MK Arjunan
429,430,Dear Uncle ...,Aaru Manikkoor,1978,"P Jayachandran, Anitha",Mankombu Gopalakrishnan,Ilayaraja
430,431,Chaalakkambolathil ...,Jayikkaanaay Janichavan,1978,P Jayachandran,Sreekumaran Thampi,MK Arjunan
431,432,Devi Mahaamaaye (Aalavattam Venchamaram) ...,Jayikkaanaay Janichavan,1978,"P Jayachandran, Ambili, Chorus",Sreekumaran Thampi,MK Arjunan
432,433,Edavappaathi Kaattadichaal ...,Aval Kanda Lokam,1978,"P Jayachandran, Jency",Sreekumaran Thampi,MK Arjunan
433,434,Aarattu Maholsavam ...,Society Lady,1978,P Jayachandran,Mankombu Gopalakrishnan,KJ Joy
434,435,Maniveenayumaay ...,Black Belt,1978,P Jayachandran,Bharanikkavu Sivakumar,Shyam
435,436,Sringaaram ...,Black Belt,1978,"P Jayachandran, Chorus",Bharanikkavu Sivakumar,Shyam
436,437,Maanodunna ...,Black Belt,1978,"P Jayachandran, Vani Jairam",Bharanikkavu Sivakumar,Shyam
437,438,Kaakkayennulla Vaakkinartham ...,Jalatharangam,1978,"P Jayachandran, Shanthi, Sherin Peters",Dr Balakrishnan,AT Ummer
438,439,Bhoomi Nammude Pettamma ...,Mudramothiram,1978,"P Jayachandran, Latha Raju",Sreekumaran Thampi,G Devarajan
439,440,Evideyo Thakaraaru ...,Mannu,1978,"KJ Yesudas, P Jayachandran",Dr Pavithran,AT Ummer
440,441,Naaga Panchami ...,Viswaroopam,1978,P Jayachandran,Mankombu Gopalakrishnan,MS Viswanathan
441,442,Ettumaanoorambalathin ...,Kudumbam Namukku Sreekovil,1978,"P Jayachandran, Ambili",Mankombu Gopalakrishnan,V Dakshinamoorthy
442,443,Daivam Bhoomiyil ...,Kudumbam Namukku Sreekovil,1978,"KJ Yesudas, P Jayachandran",Mankombu Gopalakrishnan,V Dakshinamoorthy
443,444,Raagam Sreeragam ...,Bandhanam,1978,P Jayachandran,ONV Kurup,MB Sreenivasan
444,445,Sadaachaaram Sadaachaaram ...,Ithaanente Vazhi,1978,"P Jayachandran, Chorus",Bichu Thirumala,KJ Joy
445,446,Somarasa Shaalakal ...,Ithaanente Vazhi,1978,"S Janaki, P Jayachandran",Bichu Thirumala,KJ Joy
446,447,Kaadinakam Nadane ...,Bhaaryayum Kaamukiyum,1978,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,MK Arjunan
447,448,Bruce Lee Kunjallayo ...,Raju Rahim,1978,"P Jayachandran, PB Sreenivas, CO Anto",RK Damodaran,MK Arjunan
448,449,Oru Thulli Anukamba ...,Raju Rahim,1978,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,MK Arjunan
449,450,Bhoomiyilirangiya ...,Raju Rahim,1978,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,MK Arjunan
450,451,Daivavuminnoru Kettukadha ...,Misiha Charithram,1978,P Jayachandran,Sreekumaran Thampi,"Joseph Krishna, B Gopalan"
451,452,Aattinkara Ninnum ...,Ottakam,1978,"P Jayachandran, LR Eeswari",Pappanamkodu Manikkam,SD Sekhar
452,453,Maayam Sarvathra Maayam ...,Adikku Adi,1978,P Jayachandran,Bichu Thirumala,G Devarajan
453,454,Ee Nottathil ...,Kaadu Njangalude Veedu,1978,"S Janaki, P Jayachandran",Sreekumaran Thampi,M Ranga Rao
454,455,Aalumkombathaadum ...,Iniyum Kaanaam,1979,"P Jayachandran, Jolly Abraham",Chirayinkeezhu Ramakrishnan Nair,MS Viswanathan
455,456,Ee Lokathil (Bit) (Pathos) ...,Iniyum Kaanaam,1979,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,MS Viswanathan
456,457,Vellimekham Chela Chuttiya ...,Avano Atho Avalo,1979,P Jayachandran,Bichu Thirumala,MK Arjunan
457,458,Swargathilekko ...,Saayoojyam,1979,P Jayachandran,Yusufali Kecheri,KJ Joy
458,459,Achante Swapnam ...,Agniparvatham,1979,"P Susheela, P Jayachandran",Sreekumaran Thampi,Pukazhenthi
459,460,Kudumbam Snehathin ...,Agniparvatham,1979,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Pukazhenthi
460,461,Enippadikal Thakarnnu ...,Agniparvatham,1979,P Jayachandran,Sreekumaran Thampi,Pukazhenthi
461,462,Achante Swapnam (Pathos) (Bit) ...,Agniparvatham,1979,P Jayachandran,Sreekumaran Thampi,Pukazhenthi
462,463,Yaa Devi [Slokam] ...,Agniparvatham,1979,P Jayachandran,,Pukazhenthi
463,464,Thaalam thakathaalam ...,Iniyethra Sandhyakal,1979,"P Jayachandran, Vani Jairam, CO Anto, Karthikeyan",Mankombu Gopalakrishnan,G Devarajan
464,465,Anjanashilayile ...,Krishnapparunthu,1979,"P Jayachandran, Jaseentha",Onakkoor Radhakrishnan,Shyam
465,466,Janananmaykkaay ...,Krishnapparunthu,1979,"KJ Yesudas, P Jayachandran",Onakkoor Radhakrishnan,Shyam
466,467,Thrissivaperoore ...,Krishnapparunthu,1979,"P Jayachandran, Jaseentha",O Ramdas,Shyam
467,468,Pakalkkiliyorukkiya ...,Indradhanussu,1979,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,MS Viswanathan
468,469,Vijayam vijayam ...,Indradhanussu,1979,"P Jayachandran, P Leela, Ambili",Chirayinkeezhu Ramakrishnan Nair,MS Viswanathan
469,470,Sharadindu Malardeepa ...,Ulkadal,1979,"P Jayachandran, Selma George",ONV Kurup,MB Sreenivasan
470,471,Neehaaramaalakal chaarthi ...,Ottapettavar,1979,"S Janaki, P Jayachandran",Poovachal Khader,Shyam
471,472,Thaalolam kili Raareeram ...,Ithaa Oru Theeram,1979,"P Jayachandran, Vani Jairam",Yusufali Kecheri,KJ Joy
472,473,Raajakumaran pandoru ...,Ithaa Oru Theeram,1979,"P Jayachandran, Vani Jairam, Chorus",Yusufali Kecheri,KJ Joy
473,474,Kochu kochoru ...,Nithya Vasantham,1979,P Jayachandran,AP Gopalan,MK Arjunan
474,475,Velutha vaavoru ...,College Beauty,1979,P Jayachandran,Mankombu Gopalakrishnan,MS Baburaj
475,476,Manmadhapuriyile ...,Yakshippaaru,1979,"P Jayachandran, Vani Jairam",Chirayinkeezhu Ramakrishnan Nair,MK Arjunan
476,477,Murukkaathe ...,Mamatha,1979,"P Jayachandran, Chorus",ONV Kurup,Jerry Amaldev
477,478,Chuvanna Kavilil ...,Ponnil Kulicha Raathri,1979,P Jayachandran,Yusufali Kecheri,AT Ummer
478,479,Kaattukurinjipoovu ...,Radha Enna Penkutti,1979,P Jayachandran,Devadas,Shyam
479,480,Varnaradhangalil ...,Radha Enna Penkutti,1979,P Jayachandran,Devadas,Shyam
480,481,Poliyo Poli ...,Simhaasanam,1979,"P Jayachandran, LR Eeswari",Sreekumaran Thampi,MS Viswanathan
481,482,Swargavaathil thurannu ...,Koumaarapraayam,1979,P Jayachandran,Chunakkara Ramankutty,Shyam
482,483,Neeraazhiyum poomaanavum ...,Ishtapraaneshwari,1979,"P Jayachandran, Vani Jairam, SP Balasubrahmanyam",Bichu Thirumala,Shyam
483,484,Poovum Neerum ...,Ishtapraaneshwari,1979,"P Jayachandran, Vani Jairam",Bichu Thirumala,Shyam
484,485,Aramani Kingini ...,Prabhaathasandhya,1979,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
485,486,Vasantha varna melayil ...,Prabhaathasandhya,1979,P Jayachandran,Sreekumaran Thampi,Shyam
486,487,Aaraattukadavil ...,Puthiya Velicham,1979,P Jayachandran,Sreekumaran Thampi,Salil Chowdhury
487,488,Jil Jil Jil Chilambanangi ...,Puthiya Velicham,1979,"P Susheela, P Jayachandran",Sreekumaran Thampi,Salil Chowdhury
488,489,Kaavalmaadam kuliraninjey ...,Maanavadharmam,1979,"P Jayachandran, P Madhuri",Poovachal Khader,G Devarajan
489,490,Bhakthavalsala ...,Maanavadharmam,1979,"P Jayachandran, Chorus",Pappanamkodu Lakshmanan,G Devarajan
490,491,Aavani Naalile ...,Raathrikal Ninakku Vendi,1979,"P Jayachandran, Shylaja",Mankombu Gopalakrishnan,AT Ummer
491,492,Punchiriyo ...,Kaalam Kaathu Ninnilla,1979,P Jayachandran,Mankombu Gopalakrishnan,AT Ummer
492,493,Inakkuyile Ninakkiniyum ...,Sukhathinte Pinnale,1979,P Jayachandran,Yusufali Kecheri,KJ Joy
493,494,Vahini Premavahini ...,Sukhathinte Pinnale,1979,P Jayachandran,Yusufali Kecheri,KJ Joy
494,495,Punchiriyo ...,Pichaathikkuttappan,1979,P Jayachandran,Yusufali Kecheri,K Raghavan
495,496,Moovanthi Nerathu ...,Pichaathikkuttappan,1979,"P Jayachandran, Chorus",Yusufali Kecheri,K Raghavan
496,497,Melam Unmaadathaalam ...,Enikku Njaan Swantham,1979,"S Janaki, P Jayachandran",Bichu Thirumala,Shyam
497,498,Sneham Sarvvasaaram ...,Sandhyaaraagam,1979,"P Jayachandran, NV Haridas",P Bhaskaran,K Raghavan
498,499,Aayiram Maathalappookkal ...,Anupallavi,1979,P Jayachandran,Bichu Thirumala,KJ Joy
499,500,Neeraattu En Maanasaraani ...,Anupallavi,1979,"P Jayachandran, Vani Jairam",Vijayan,KJ Joy
500,501,Anuraagapraayathil ...,Ival Oru Naadodi,1979,P Jayachandran,Dr Shajahan,SD Sekhar
501,502,Iniyoru naalil ...,Pathivritha,1979,"P Susheela, P Jayachandran",Bichu Thirumala,MS Viswanathan
502,503,Onnaakum arumalaykku ...,Paapathinu Maranamilla,1979,"P Jayachandran, P Madhuri",Vayalar,G Devarajan
503,504,Thaamarappoonkaattupole ...,Neeyo Njaano,1979,"P Jayachandran, Kausalya",Sathyan Anthikkad,Shyam
504,505,Jeevithamennoru ...,Driver Madyapichirunnu,1979,P Jayachandran,Kallada Sasi,K Raghavan
505,506,Romancham poothu ...,Aaraattu,1979,"P Jayachandran, Ambili",Bichu Thirumala,AT Ummer
506,507,Shariyethennaararinju ...,Vellaayani Paramu,1979,P Jayachandran,Sreekumaran Thampi,G Devarajan
507,508,Villadichaan paattupaadi ...,Vellaayani Paramu,1979,"P Jayachandran, CO Anto",Sreekumaran Thampi,G Devarajan
508,509,Aalam udayone ...,Vellaayani Paramu,1979,"P Susheela, P Jayachandran, Chorus, Jolly Abraham",Sreekumaran Thampi,G Devarajan
509,510,Aayiram Sugandha ...,Vaadakaveedu,1979,P Jayachandran,Bichu Thirumala,MS Viswanathan
510,511,Thulavarsha nandini ...,Vaaleduthavan Vaalaal,1979,"P Jayachandran, Ambili, Manoharan",Chirayinkeezhu Ramakrishnan Nair,AT Ummer
511,512,Thedivanna vasanthame ...,Oru Raagam Pala Thaalam,1979,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
512,513,Janikkumpol nammal ...,Oru Raagam Pala Thaalam,1979,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
513,514,Antharangam oru chenthaamara ...,Sudhikalasam,1979,P Jayachandran,Sreekumaran Thampi,Shyam
514,515,Aadya chumbanam ...,Amrithachumbanam,1979,"P Jayachandran, Chorus",Yusufali Kecheri,G Devarajan
515,516,Kochu kochoru kochi ...,Thuramukham,1979,"P Jayachandran, CO Anto",Poovachal Khader,MK Arjunan
516,517,Theyyaka theyyaka ...,Sarapanjaram,1979,"P Jayachandran, P Madhuri",Yusufali Kecheri,G Devarajan
517,518,Chembakamalla nee ...,Kathirmandapam,1979,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
518,519,Peraalum Kunnin Mel ...,Ward Number 7,1979,P Jayachandran,Chirayinkeezhu Ramakrishnan Nair,G Devarajan
519,520,Mazha Peythu ...,Lajjaavathi,1979,"P Susheela, P Jayachandran",Anwar Suber,KJ Joy
520,521,Panineeru ...,Pathinaalam Raavu,1979,P Jayachandran,Kanesh Punoor,K Raghavan
521,522,Panineeru (Pathos) ...,Pathinaalam Raavu,1979,P Jayachandran,Kanesh Punoor,K Raghavan
522,523,Mindaappenne Mandippenne ...,Irumbazhikal,1979,"P Jayachandran, Vani Jairam, Chorus",RK Damodaran,MK Arjunan
523,524,Chadukudu chadukudu ...,Maani Koya Kurup,1979,"S Janaki, P Jayachandran",P Bhaskaran,MS Viswanathan
524,525,Anthiyilam ...,Maani Koya Kurup,1979,"KJ Yesudas, P Jayachandran",P Bhaskaran,MS Viswanathan
525,526,Maanathuninnum ...,Agnivyooham,1979,P Jayachandran,Sathyan Anthikkad,AT Ummer
526,527,Madhumaasam Bhoomithan ...,Ezham Kadalinakkare,1979,P Jayachandran,P Bhaskaran,MS Viswanathan
527,528,Swargathin Nandana ...,Ezham Kadalinakkare,1979,"P Susheela, P Jayachandran",P Bhaskaran,MS Viswanathan
528,529,Aayiram thalayulla ...,Sarppam,1979,"P Jayachandran, Vani Jairam, B Vasantha, Chorus",Bichu Thirumala,KJ Joy
529,530,Aayiram Thalayulla [Bit] ...,Sarppam,1979,"P Jayachandran, Chorus",Bichu Thirumala,KJ Joy
530,531,Kalyaani amrithatharangini ...,Idavazhiyile Poocha Mindappoocha,1979,P Jayachandran,Yusufali Kecheri,MB Sreenivasan
531,532,Thenmaavin Chottiloru ...,Abhilaashangale Abhayam,1979,"P Jayachandran, Vani Jairam",Balu Kiriyath,Darsan Raman
532,533,Poo pole poo pole ...,Hridayathinte Nirangal,1979,"P Jayachandran, P Madhuri",Sreekumaran Thampi,R Sudarsanam
533,534,Oru Gaana Veechika ...,Hridayathinte Nirangal,1979,P Jayachandran,Sreekumaran Thampi,G Devarajan
534,535,Swapname Ninakku Nanni ...,Aval Ente Swapnam,1979,P Jayachandran,Sasi Peroorkada,V Dakshinamoorthy
535,536,Poonilaavu Punchirichu ...,Aval Ente Swapnam,1979,"P Jayachandran, Kalyani Menon",Sasi Peroorkada,V Dakshinamoorthy
536,537,Raasa Narthanam ...,Aval Ente Swapnam,1979,P Jayachandran,Sasi Peroorkada,V Dakshinamoorthy
537,538,Madanolsavam ...,Aval Ente Swapnam,1979,P Jayachandran,Sasi Peroorkada,V Dakshinamoorthy
538,539,Mala Petta Penninte ...,Raaga Pournami,1979,"P Susheela, P Jayachandran, Chorus",Kaniyapuram Ramachandran,"G Devarajan, Traditional"
539,540,Shabarimalayile ...,Eeswara Jagadeeswara,1979,P Jayachandran,Jayaraj,Raghu Kumar
540,541,Vrischikamaasa ...,Eeswara Jagadeeswara,1979,P Jayachandran,Jayaraj,Raghu Kumar
541,542,Odakkuzhalumaayi ...,Eeswara Jagadeeswara,1979,P Jayachandran,Jayaraj,Raghu Kumar
542,543,Devi Mookaambike ...,Eeswara Jagadeeswara,1979,P Jayachandran,Jayaraj,Raghu Kumar
543,544,Kaalam Thelinju ...,Idimuzhakkam,1980,"S Janaki, P Jayachandran",Sreekumaran Thampi,Shyam
544,545,Maankidaave Nin nenchum ...,Dooram Arike,1980,P Jayachandran,ONV Kurup,Ilayaraja
545,546,Ee thaarunya ...,Laava,1980,"KJ Yesudas, P Jayachandran",Yusufali Kecheri,G Devarajan
546,547,Aashaalathayile ...,Laava,1980,"P Jayachandran, Chorus",Yusufali Kecheri,G Devarajan
547,548,Chandana Shilakalil ...,Shakthi,1980,"P Susheela, P Jayachandran",Bichu Thirumala,KJ Joy
548,549,Chandanakkulir Veesuna ...,Vilkkanundu Swapnangal,1980,"P Jayachandran, Chorus, CO Anto",Sreedharanunni,MB Sreenivasan
549,550,Pushyaraagam Nrithamaadum ...,Pappu,1980,"P Jayachandran, Vani Jairam",Bichu Thirumala,KJ Joy
550,551,Shaanthamaay Premasaagaram ...,Ithile Vannavar,1980,P Jayachandran,Sathyan Anthikkad,Shyam
551,552,Rithulayamunarunnu ...,Love in Singapore,1980,"S Janaki, P Jayachandran",Ettumanoor Sreekumar,Shankar Ganesh
552,553,Chaam Chacha ...,Love in Singapore,1980,"P Susheela, P Jayachandran",Ettumanoor Sreekumar,Shankar Ganesh
553,554,Njan Raaja ...,Love in Singapore,1980,"S Janaki, P Jayachandran",Ettumanoor Sreekumar,Shankar Ganesh
554,555,Madamilakanu Meyyake ...,Love in Singapore,1980,"S Janaki, P Jayachandran",Ettumanoor Sreekumar,Shankar Ganesh
555,556,En Kannil Mandaram ...,Moorkhan,1980,"P Jayachandran, Chorus",B Manikyam,AT Ummer
556,557,Vishaada Saagara ...,Theeram Thedunnavar,1980,P Jayachandran,Sathyan Anthikkad,MS Viswanathan
557,558,Snehathin Sandeshageethamaay ...,Rajaneegandhi,1980,"P Jayachandran, P Madhuri",Yusufali Kecheri,G Devarajan
